,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,response,first_response
616,stimulus/incompatible/target_left,0.5712890625,,,,0.0,,0.5712890625,left
618,stimulus/incompatible/target_left,0.5625,,,,0.0,1.4169921875,0.5625,left
620,stimulus/incompatible/target_right,0.384765625,,,,,0.0,0.384765625,left
622,stimulus/incompatible/target_right,0.294921875,,,1.44921875,,0.0,0.294921875,left
624,stimulus/compatible/target_right,,0.318359375,,0.0,,,0.318359375,right
626,stimulus/compatible/target_right,,0.3681640625,,0.0,1.4990234375,,0.3681640625,right
628,stimulus/incompatible/target_left,,0.373046875,1.416015625,,0.0,,0.373046875,right
630,stimulus/compatible/target_left,0.4931640625,,0.0,,,1.5,0.4931640625,left
632,stimulus/incompatible/target_right,,0.46484375,,,,0.0,0.46484375,right
634,stimulus/compatible/target_left,0.3623046875,,0.0,,,,0.3623046875,left
636,stimulus/compatible/target_right,,0.4755859375,,0.0,,,0.4755859375,right
638,stimulus/compatible/target_right,,0.3701171875,,0.0,,,0.3701171875,right
640,stimulus/incompatible/target_right,,0.2939453125,,,,0.0,0.2939453125,right
642,stimulus/compatible/target_right,,0.416015625,,0.0,1.4833984375,,0.416015625,right
644,stimulus/incompatible/target_left,0.484375,,1.4658203125,,0.0,,0.484375,left
646,stimulus/compatible/target_left,0.38671875,,0.0,,,1.416015625,0.38671875,left
648,stimulus/incompatible/target_right,,0.4580078125,,1.466796875,,0.0,0.4580078125,right
650,stimulus/compatible/target_right,,0.3994140625,,0.0,,,0.3994140625,right
652,stimulus/compatible/target_left,0.37109375,,0.0,1.5,,,0.37109375,left
654,stimulus/compatible/target_right,,0.3515625,,0.0,,,0.3515625,right
656,stimulus/compatible/target_right,,0.36328125,,0.0,,,0.36328125,right
658,stimulus/compatible/target_left,0.390625,,0.0,,,1.4658203125,0.390625,left
660,stimulus/incompatible/target_right,,0.388671875,1.4990234375,,,0.0,0.388671875,right
662,stimulus/compatible/target_left,0.353515625,,0.0,,,,0.353515625,left
664,stimulus/compatible/target_left,0.37890625,,0.0,,,,0.37890625,left
666,stimulus/incompatible/target_right,,0.451171875,1.44921875,,,0.0,0.451171875,right
668,stimulus/compatible/target_left,0.41796875,,0.0,,,1.4833984375,0.41796875,left
670,stimulus/incompatible/target_right,,0.4228515625,,,,0.0,0.4228515625,right
672,stimulus/incompatible/target_right,,0.4228515625,,,,0.0,0.4228515625,right
674,stimulus/compatible/target_right,,0.3671875,,0.0,,,0.3671875,right
676,stimulus/incompatible/target_left,0.4248046875,,,,0.0,1.466796875,0.4248046875,left
678,stimulus/incompatible/target_right,0.3896484375,,,,,0.0,0.3896484375,left
680,stimulus/incompatible/target_left,0.392578125,,,,0.0,1.4169921875,0.392578125,left
682,stimulus/incompatible/target_right,,0.3671875,,,1.482421875,0.0,0.3671875,right
684,stimulus/incompatible/target_left,,0.31640625,,,0.0,,0.31640625,right
686,stimulus/incompatible/target_right,,0.421875,,,,0.0,0.421875,right
688,stimulus/incompatible/target_left,0.4951171875,,,,0.0,,0.4951171875,left
690,stimulus/compatible/target_left,0.4501953125,,0.0,,,,0.4501953125,left
692,stimulus/compatible/target_left,0.3427734375,,0.0,1.466796875,,,0.3427734375,left
694,stimulus/compatible/target_right,,0.404296875,,0.0,1.3994140625,,0.404296875,right
696,stimulus/incompatible/target_left,0.396484375,,,,0.0,,0.396484375,left
698,stimulus/incompatible/target_left,0.4814453125,,,,0.0,,0.4814453125,left
700,stimulus/incompatible/target_left,0.3876953125,,,,0.0,,0.3876953125,left
702,stimulus/compatible/target_right,,0.390625,,0.0,,,0.390625,right
704,stimulus/compatible/target_right,,0.3076171875,1.44921875,0.0,,,0.3076171875,right
706,stimulus/compatible/target_left,0.4423828125,,0.0,1.466796875,,,0.4423828125,left
708,stimulus/compatible/target_right,,0.3671875,,0.0,,,0.3671875,right
710,stimulus/compatible/target_left,0.4423828125,,0.0,,,1.5,0.4423828125,left
712,stimulus/incompatible/target_right,,0.478515625,,,,0.0,0.478515625,right
714,stimulus/incompatible/target_left,0.7216796875,,,,0.0,,0.7216796875,left
716,stimulus/incompatible/target_left,0.4765625,,,,0.0,,0.4765625,left
718,stimulus/compatible/target_right,,0.4169921875,,0.0,,1.3994140625,0.4169921875,right
720,stimulus/incompatible/target_right,,0.4091796875,,,,0.0,0.4091796875,right
722,stimulus/incompatible/target_right,,0.439453125,,,,0.0,0.439453125,right
724,stimulus/compatible/target_left,0.2890625,,0.0,,,,0.2890625,left
726,stimulus/compatible/target_left,0.46484375,,0.0,,,,0.46484375,left
728,stimulus/compatible/target_left,0.376953125,,0.0,1.44921875,,,0.376953125,left
730,stimulus/compatible/target_right,,0.3916015625,,0.0,,,0.3916015625,right
732,stimulus/compatible/target_left,0.4326171875,,0.0,,1.4658203125,,0.4326171875,left
734,stimulus/incompatible/target_left,0.52734375,,,,0.0,,0.52734375,left
736,stimulus/compatible/target_left,0.41796875,,0.0,,,,0.41796875,left
738,stimulus/compatible/target_left,0.40234375,,0.0,,,,0.40234375,left
740,stimulus/incompatible/target_left,0.5234375,,,,0.0,,0.5234375,left
742,stimulus/incompatible/target_left,0.427734375,,,,0.0,,0.427734375,left
744,stimulus/incompatible/target_left,0.533203125,,,,0.0,,0.533203125,left
746,stimulus/compatible/target_right,,0.478515625,,0.0,1.4990234375,,0.478515625,right
748,stimulus/incompatible/target_left,0.4111328125,,,,0.0,,0.4111328125,left
750,stimulus/incompatible/target_right,0.2939453125,,,1.482421875,,0.0,0.2939453125,left
752,stimulus/compatible/target_right,0.443359375,,,0.0,,,0.443359375,left
754,stimulus/compatible/target_right,,0.42578125,,0.0,1.4501953125,,0.42578125,right
756,stimulus/incompatible/target_left,0.53515625,,,,0.0,1.44921875,0.53515625,left
758,stimulus/incompatible/target_right,0.58203125,,,,1.482421875,0.0,0.58203125,left
760,stimulus/incompatible/target_left,0.5556640625,,,1.466796875,0.0,,0.5556640625,left
762,stimulus/compatible/target_right,,0.376953125,,0.0,1.4326171875,,0.376953125,right
764,stimulus/incompatible/target_left,0.5126953125,,1.482421875,,0.0,,0.5126953125,left
766,stimulus/compatible/target_left,0.3896484375,,0.0,,,,0.3896484375,left
768,stimulus/compatible/target_right,,0.447265625,,0.0,1.4658203125,,0.447265625,right
770,stimulus/incompatible/target_left,0.5810546875,,,1.4833984375,0.0,,0.5810546875,left
772,stimulus/compatible/target_right,,0.361328125,,0.0,,,0.361328125,right
774,stimulus/compatible/target_right,,0.41015625,,0.0,,1.4658203125,0.41015625,right
776,stimulus/incompatible/target_right,0.400390625,,,,,0.0,0.400390625,left
778,stimulus/incompatible/target_right,0.3203125,,,,,0.0,0.3203125,left
780,stimulus/incompatible/target_right,,0.478515625,,,,0.0,0.478515625,right
782,stimulus/compatible/target_right,,0.3603515625,,0.0,,1.4833984375,0.3603515625,right
784,stimulus/incompatible/target_right,,0.732421875,,,,0.0,0.732421875,right
786,stimulus/incompatible/target_right,,0.4521484375,,,,0.0,0.4521484375,right
788,stimulus/compatible/target_right,,0.3974609375,,0.0,,1.4326171875,0.3974609375,right
790,stimulus/incompatible/target_right,,0.548828125,,,,0.0,0.548828125,right
792,stimulus/compatible/target_left,0.49609375,,0.0,,,,0.49609375,left
794,stimulus/compatible/target_left,,1.4375,0.0,,1.4658203125,,1.4375,right
796,stimulus/incompatible/target_left,0.5478515625,,,,0.0,1.4658203125,0.5478515625,left
798,stimulus/incompatible/target_right,,0.42578125,1.416015625,,,0.0,0.42578125,right
800,stimulus/compatible/target_left,0.40234375,,0.0,,,,0.40234375,left
