,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
646,stimulus/compatible/target_left,0.38671875,,0.0,,,1.416015625,0.0,0.38671875,compatible/target_left,left
648,stimulus/incompatible/target_right,,0.4580078125,,1.466796875,,0.0,0.0,0.4580078125,incompatible/target_right,right
650,stimulus/compatible/target_right,,0.3994140625,,0.0,,,0.0,0.3994140625,compatible/target_right,right
652,stimulus/compatible/target_left,0.37109375,,0.0,1.5,,,0.0,0.37109375,compatible/target_left,left
654,stimulus/compatible/target_right,,0.3515625,,0.0,,,0.0,0.3515625,compatible/target_right,right
656,stimulus/compatible/target_right,,0.36328125,,0.0,,,0.0,0.36328125,compatible/target_right,right
658,stimulus/compatible/target_left,0.390625,,0.0,,,1.4658203125,0.0,0.390625,compatible/target_left,left
660,stimulus/incompatible/target_right,,0.388671875,1.4990234375,,,0.0,0.0,0.388671875,incompatible/target_right,right
662,stimulus/compatible/target_left,0.353515625,,0.0,,,,0.0,0.353515625,compatible/target_left,left
664,stimulus/compatible/target_left,0.37890625,,0.0,,,,0.0,0.37890625,compatible/target_left,left
666,stimulus/incompatible/target_right,,0.451171875,1.44921875,,,0.0,0.0,0.451171875,incompatible/target_right,right
668,stimulus/compatible/target_left,0.41796875,,0.0,,,1.4833984375,0.0,0.41796875,compatible/target_left,left
670,stimulus/incompatible/target_right,,0.4228515625,,,,0.0,0.0,0.4228515625,incompatible/target_right,right
672,stimulus/incompatible/target_right,,0.4228515625,,,,0.0,0.0,0.4228515625,incompatible/target_right,right
674,stimulus/compatible/target_right,,0.3671875,,0.0,,,0.0,0.3671875,compatible/target_right,right
676,stimulus/incompatible/target_left,0.4248046875,,,,0.0,1.466796875,0.0,0.4248046875,incompatible/target_left,left
678,stimulus/incompatible/target_right,0.3896484375,,,,,0.0,0.0,0.3896484375,incompatible/target_right,left
680,stimulus/incompatible/target_left,0.392578125,,,,0.0,1.4169921875,0.0,0.392578125,incompatible/target_left,left
682,stimulus/incompatible/target_right,,0.3671875,,,1.482421875,0.0,0.0,0.3671875,incompatible/target_right,right
684,stimulus/incompatible/target_left,,0.31640625,,,0.0,,0.0,0.31640625,incompatible/target_left,right
686,stimulus/incompatible/target_right,,0.421875,,,,0.0,0.0,0.421875,incompatible/target_right,right
